1,6,36
2,42,12
3,24,14
4,18,19
5,4,28
6,24,18
7,20,24
8,4,12
9,32,12
10,2,10
11,40,0
12,24,22
13,14,16
14,34,26
15,6,18
16,22,4
17,12,16
18,44,22
19,29,16
20,20,22
21,36,18
22,20,6
23,18,20
24,20,12
25,29,16
26,24,25
27,26,14
28,22,24
29,12,4
30,16,24
31,34,6
32,18,17
33,17,18
34,16,26
35,16,29
36,0,13
37,12,20
38,6,22
39,30,14
40,10,30
41,22,18
42,22,6
43,16,38
44,32,22
45,22,12
46,10,14
47,31,6
48,12,30
49,28,16
50,12,10
51,32,6
52,28,24
53,17,16
54,22,30
55,22,28
56,18,10
57,14,38
58,28,32
59,24,26
60,12,14
61,10,12
62,28,16
63,26,18
64,22,30
65,8,5
66,36,4
67,56,16
68,16,20
69,23,16
70,30,10
71,10,28
72,16,10
73,10,24
74,31,20
75,13,17
76,22,23
77,16,12
78,32,18
79,22,12
80,10,11
81,14,12
82,0,8
83,34,41
84,18,31
85,20,26
86,16,22
87,12,24
88,18,14
89,24,20
90,42,6
91,24,2
92,44,10
93,20,27
94,22,44
95,36,4
96,0,20
97,10,4
98,29,16
99,30,36
